"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2011年7月22日","22,444.80","22,267.00","22,451.00","22,244.00","-","2.08%"
"2011年7月21日","21,987.29","22,026.00","22,118.00","21,834.00","-","-0.07%"
"2011年7月20日","22,003.69","22,115.00","22,127.00","21,860.00","-","0.46%"
"2011年7月19日","21,902.40","21,811.00","21,910.00","21,588.00","-","0.57%"
"2011年7月18日","21,778.00","21,771.00","22,043.00","21,732.00","-","-0.45%"
"2011年7月15日","21,875.38","21,869.00","22,000.00","21,787.00","-","-0.30%"
"2011年7月14日","21,940.20","21,892.00","21,963.00","21,734.00","-","0.06%"
"2011年7月13日","21,926.88","21,734.00","21,958.00","21,657.00","-","1.22%"
"2011年7月12日","21,663.16","21,968.00","21,968.00","21,567.00","-","-3.06%"
"2011年7月11日","22,347.23","22,498.00","22,565.00","22,275.00","-","-1.67%"
"2011年7月8日","22,726.43","22,806.00","22,850.00","22,671.00","-","0.87%"
"2011年7月7日","22,530.18","22,633.00","22,724.00","22,496.00","-","0.06%"
"2011年7月6日","22,517.55","22,689.00","22,767.00","22,498.00","-","-1.01%"
"2011年7月5日","22,747.95","22,823.00","22,828.00","22,734.00","-","-0.10%"
"2011年7月4日","22,770.47","22,838.00","22,838.00","22,740.00","-","1.66%"
"2011年6月30日","22,398.10","22,229.00","22,479.00","22,167.00","-","1.53%"
"2011年6月29日","22,061.18","22,247.00","22,256.00","22,001.00","-","-0.00%"
"2011年6月28日","22,061.78","22,195.00","22,209.00","21,934.00","-","0.09%"
"2011年6月27日","22,041.77","21,876.00","22,085.00","21,876.00","-","-0.59%"
"2011年6月24日","22,171.95","21,830.00","22,171.95","21,756.00","-","1.90%"
"2011年6月23日","21,759.14","21,778.00","21,914.00","21,613.00","-","-0.46%"
"2011年6月22日","21,859.97","22,022.00","22,022.00","21,802.00","-","0.04%"
"2011年6月21日","21,850.59","21,787.00","21,855.00","21,666.00","-","1.16%"
"2011年6月20日","21,599.51","21,743.00","21,868.00","21,498.00","-","-0.44%"
"2011年6月17日","21,695.26","21,934.00","21,967.00","21,594.00","-","-1.17%"
"2011年6月16日","21,953.11","22,008.00","22,062.00","21,862.00","-","-1.75%"
"2011年6月15日","22,343.77","22,498.00","22,584.00","22,301.00","-","-0.68%"
"2011年6月14日","22,496.00","22,311.00","22,661.00","22,305.00","-","-0.05%"
"2011年6月13日","22,508.08","22,155.00","22,517.00","22,120.00","-","0.39%"
"2011年6月10日","22,420.37","22,621.00","22,636.00","22,251.00","-","-0.84%"
"2011年6月9日","22,609.83","22,585.00","22,609.83","22,295.00","-","-0.23%"
"2011年6月8日","22,661.63","22,666.00","22,696.00","22,536.00","-","-0.97%"
"2011年6月7日","22,883.27","22,778.00","22,915.00","22,697.00","-","-0.29%"
"2011年6月3日","22,949.56","23,274.00","23,288.00","22,929.00","-","-1.31%"
"2011年6月2日","23,253.84","23,270.00","23,312.00","23,193.00","-","-1.58%"
"2011年6月1日","23,626.43","23,660.00","23,700.00","23,587.00","-","-0.24%"
"2011年5月31日","23,684.13","23,442.00","23,724.00","23,392.00","-","2.16%"
"2011年5月30日","23,184.32","23,124.00","23,276.00","23,092.00","-","0.29%"
"2011年5月27日","23,118.07","22,973.00","23,189.00","22,891.00","-","0.95%"
"2011年5月26日","22,900.79","22,914.00","22,982.00","22,817.00","-","0.67%"
"2011年5月25日","22,747.28","22,475.00","22,791.00","22,475.00","-","0.07%"
"2011年5月24日","22,730.78","22,666.00","22,765.00","22,615.00","-","0.09%"
"2011年5月23日","22,711.02","22,833.00","22,881.00","22,628.00","-","-2.11%"
"2011年5月20日","23,199.39","23,196.00","23,247.00","23,125.00","-","0.16%"
"2011年5月19日","23,163.38","23,109.00","23,249.00","22,996.00","-","0.66%"
"2011年5月18日","23,011.14","22,993.00","23,056.00","22,896.00","-","0.48%"
"2011年5月17日","22,901.08","22,834.00","22,951.00","22,727.00","-","-0.26%"
"2011年5月16日","22,960.63","23,051.00","23,154.00","22,922.00","-","-1.36%"
"2011年5月13日","23,276.27","23,082.00","23,316.00","22,903.00","-","0.88%"
"2011年5月12日","23,073.76","23,084.00","23,136.00","22,966.00","-","-0.94%"
"2011年5月11日","23,291.80","23,513.00","23,525.00","23,214.00","-","-0.19%"
"2011年5月9日","23,336.00","23,251.00","23,391.00","23,223.00","-","0.76%"
"2011年5月6日","23,159.14","23,014.00","23,212.00","22,966.00","-","-0.43%"
"2011年5月5日","23,259.41","23,176.00","23,325.00","23,135.00","-","-0.28%"
"2011年5月4日","23,323.91","23,472.00","23,483.00","23,188.00","-","-1.31%"
"2011年5月3日","23,633.25","23,691.00","23,932.00","23,583.00","-","-0.37%"
"2011年4月29日","23,720.81","23,697.00","23,807.00","23,596.00","-","-0.36%"
"2011年4月28日","23,805.63","24,103.00","24,119.00","23,717.00","-","-0.37%"
"2011年4月27日","23,892.84","24,253.00","24,278.00","23,788.00","-","-0.48%"
"2011年4月26日","24,007.38","23,927.00","24,073.00","23,798.00","-","-0.54%"
"2011年4月21日","24,138.31","24,056.00","24,185.00","24,017.00","-","1.01%"
"2011年4月20日","23,896.10","23,677.00","23,896.10","23,632.00","-","1.60%"
"2011年4月19日","23,520.62","23,591.00","23,600.00","23,419.00","-","-1.30%"
"2011年4月18日","23,830.31","23,890.00","24,157.00","23,725.00","-","-0.74%"
"2011年4月15日","24,008.07","24,023.00","24,249.00","23,871.00","-","-0.02%"
"2011年4月14日","24,014.00","23,954.00","24,066.00","23,887.00","-","-0.50%"
"2011年4月13日","24,135.03","23,988.00","24,206.00","23,841.00","-","0.66%"
"2011年4月12日","23,976.37","24,132.00","24,133.00","23,919.00","-","-1.34%"
"2011年4月11日","24,303.07","24,457.00","24,464.00","24,237.00","-","-0.38%"
"2011年4月8日","24,396.07","24,259.00","24,476.00","24,246.00","-","0.47%"
"2011年4月7日","24,281.80","24,301.00","24,373.00","24,204.00","-","-0.01%"
"2011年4月6日","24,285.05","24,158.00","24,331.00","24,110.00","-","0.56%"
"2011年4月4日","24,150.58","23,905.00","24,166.00","23,903.00","-","1.46%"
"2011年4月1日","23,801.90","23,636.00","23,803.00","23,474.00","-","1.17%"
"2011年3月31日","23,527.52","23,572.00","23,592.00","23,454.00","-","0.32%"
"2011年3月30日","23,451.43","23,216.00","23,518.00","23,181.00","-","1.70%"
"2011年3月29日","23,060.36","22,997.00","23,145.00","22,965.00","-","-0.03%"
