"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年12月2日","8,567.99","8,672.84","8,672.84","8,540.16","559.26M","-1.12%"
"2019年11月29日","8,665.47","8,682.01","8,697.33","8,664.03","303.12M","-0.46%"
"2019年11月27日","8,705.17","8,669.59","8,705.91","8,662.58","436.37M","0.66%"
"2019年11月26日","8,647.93","8,635.40","8,659.73","8,625.62","739.47M","0.18%"
"2019年11月25日","8,632.49","8,559.65","8,633.15","8,559.65","575.98M","1.32%"
"2019年11月22日","8,519.89","8,530.54","8,535.46","8,477.49","459.67M","0.16%"
"2019年11月21日","8,506.21","8,527.87","8,530.73","8,487.29","520.65M","-0.24%"
"2019年11月20日","8,526.73","8,543.57","8,578.27","8,468.63","771.51M","-0.51%"
"2019年11月19日","8,570.66","8,578.02","8,589.76","8,536.73","533.69M","0.24%"
"2019年11月18日","8,549.94","8,529.16","8,559.78","8,503.62","523.43M","0.11%"
"2019年11月15日","8,540.83","8,524.48","8,540.83","8,506.80","588.62M","0.73%"
"2019年11月14日","8,479.02","8,461.06","8,485.36","8,441.58","499.40M","-0.04%"
"2019年11月13日","8,482.10","8,455.02","8,496.90","8,451.34","521.49M","-0.05%"
"2019年11月12日","8,486.09","8,471.07","8,514.84","8,462.99","491.23M","0.26%"
"2019年11月11日","8,464.28","8,431.26","8,467.29","8,425.49","435.56M","-0.13%"
"2019年11月8日","8,475.31","8,422.67","8,475.57","8,405.89","508.33M","0.48%"
"2019年11月7日","8,434.52","8,455.11","8,483.16","8,415.87","618.39M","0.28%"
"2019年11月6日","8,410.63","8,426.57","8,426.57","8,379.33","584.19M","-0.29%"
"2019年11月5日","8,434.68","8,446.62","8,457.39","8,421.05","559.52M","0.02%"
"2019年11月4日","8,433.20","8,445.50","8,451.37","8,421.30","555.69M","0.56%"
"2019年11月1日","8,386.40","8,335.05","8,386.75","8,326.56","519.42M","1.13%"
"2019年10月31日","8,292.36","8,314.38","8,321.80","8,248.81","608.63M","-0.14%"
"2019年10月30日","8,303.98","8,284.28","8,315.50","8,241.70","484.37M","0.33%"
"2019年10月29日","8,276.85","8,313.35","8,319.29","8,275.14","468.38M","-0.59%"
"2019年10月28日","8,325.99","8,285.77","8,335.56","8,285.27","488.91M","1.01%"
"2019年10月25日","8,243.12","8,150.59","8,249.97","8,150.59","475.98M","0.70%"
"2019年10月24日","8,185.80","8,180.04","8,187.84","8,137.66","468.72M","0.81%"
